Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
"Eagle Exploration, Inc.",Geophysical Shot Hole Drilling / Seismic Support,Regional,Medium,12935 S W Bay Shore Dr Ste 355B,Traverse City,MI,(231) 933-6177,www.eagleexplorationservices.com,44.7908993,-85.63686299999999,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.rigzone.com/directory/company/12066/Eagle-Exploration-Inc/ ; https://maps.google.com/?cid=17269686731824382490,"Rigzone lists geophysical shot-hole drilling services for the oil and gas industry throughout the United States. ; Google Places profile matched Eagle Exploration Inc; 12935 S W Bay Shore Dr Ste 355B, Traverse City, MI 49684, USA; (231) 933-6177; status OPERATIONAL; researched 2026-06-24",Confirmed seismic/shot-hole drilling fit per Rigzone; current availability must be verified.,Map-profile-enriched provider,Rigzone Directory V2.10,44.7631,-85.6206,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.7908993|-85.63686299999999,1,Single marker; tooltip opens on click
Pense Bros. Exploration Drilling,Drilling Contractor / Rotary Air Drilling,Regional,High,City-level geocode; exact yard pending,Fredericktown,MO,Needs direct confirmation,,37.559800,-90.294000,City-level geocode,High,Rigzone directory lead; direct call required,https://www.rigzone.com/directory/company/5889/Pense-Bros-Exploration-Drilling/,"Rigzone describes company as rotary air drilling services; shallow natural gas/exploration holes up to about 5,000 ft; HQ in Fredericktown, MO with branch offices in Glenpool OK, Trinidad CO, and Brookwood AL.",Confirmed oil and gas / natural gas drilling fit per Rigzone; current operations must be verified.,Headquarters / drilling contractor lead,Rigzone Directory V2.10,37.5598,-90.2940,,,City centroid / physical address needed,37.559800|-90.294000,1,Single marker; tooltip opens on hover
"Environmental Works, Inc. - Kansas City",Environmental / Sonic / Wireline Coring,Regional / Multi-state,Medium,1731 Locust,Kansas City,MO,816-285-8410,https://www.environmentalworks.com/drilling-services/,39.090000,-94.577000,Address/city-level geocode,Medium,Company source verified,https://www.environmentalworks.com/drilling-services/,"Environmental drilling provider operating in 30+ states; sonic drilling, monitoring wells, wireline coring, and geotechnical services.",Oil/gas-adjacent; qualify upstream applicability,Specialty drilling / coring adjacent,V2.9 Coring-Seismic expansion,39.0900,-94.5770,,,City centroid / physical address needed,39.090000|-94.577000,1,Single marker; tooltip opens on hover
Missouri DNR Oil & Gas Regulatory Hub,Regulatory / Source Reference,Government source,N/A,Missouri Geological Survey,Rolla,MO,Needs verification,https://dnr.mo.gov/land-geology/businesses-landowners-permittees/permits/oil-gas,37.948500,-91.771500,Reference record only,Reference,Government source,https://dnr.mo.gov/land-geology/businesses-landowners-permittees/permits/oil-gas,"Reference layer for Missouri oil and gas wells and UIC/drilling context; use as source to identify Missouri operators/vendors, not a service vendor.",Reference only - not vendor,V2.7 source/reference row,Existing V2.7 record,37.9485,-91.7715,,,Physical address / approximate geocode,37.948500|-91.771500,1,Single marker; tooltip opens on hover
CK Power,Engines / Generator Sets / Pumpjack Power Packages,Local / Regional,Medium,1100 Research Blvd,St. Louis,MO,(314) 868-8620,https://www.ckpower.com/,38.6803296,-90.3984672,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided lead ; public verification/direct call pending ; https://maps.google.com/?cid=6391437872772454256 ; https://www.ckpower.com/,"Power units and generator sets for oil and gas exploration, extraction, pumpjacks, power jacks, rigs and production equipment. ; Google Places profile matched CK Power; 1100 Research Blvd, St. Louis, MO 63132, USA; (314) 868-8620; status OPERATIONAL; researched 2026-06-24",User-provided lead; oilfield-specific fit to confirm by service line,Map-profile-enriched provider,V2.14 User requested service-category expansion,38.627,-90.1994,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,38.6803296|-90.3984672,1,Single marker; tooltip opens on click
DW Services - Columbia Corporate,Oilfield Construction / Pipeline / Water / Fluids / Rentals,Regional / Gulf Coast,High,4025 Highway 35 North,Columbia,MS,601-522-2300,https://dwservices.com/locations/laurel-ms/,31.251800,-89.837600,Map ready / address ready,Medium,Company/source verified; direct-call before use,https://dwservices.com/locations/laurel-ms/,Corporate Mississippi base for DW Services; field support around Laurel/Columbia.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,31.2518,-89.8376,,,Physical address / approximate geocode,31.251800|-89.837600,1,Single marker; tooltip opens on hover
Boots Smith Completion Services - Laurel,Coiled Tubing / Wireline / Pumping / Pressure Control,Regional / Gulf Coast,High,Exact address pending,Laurel,MS,Needs direct confirmation,https://bootssmith.net/,31.694100,-89.130600,City-level geocode; exact yard pending,High,Company/source verified; direct-call before use,https://bootssmith.net/,"Laurel-based oilfield service company providing coil tubing, wireline, pumping and pressure-control services.",Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,31.6941,-89.1306,,,City centroid / physical address needed,31.694100|-89.130600,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Cased Hole Well Services,Electric Wireline / Snubbing / Hydraulic Well Control,Local / Regional,High,3611 Industrial Blvd,Laurel,MS,(601) 425-2700,http://www.casedholewellservices.com/,31.6603438,-89.1793842,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://drillerdb.com/contractor/cased-hole-well-services-ms ; https://maps.google.com/?cid=16688400412602621252 ; http://www.casedholewellservices.com/,"Laurel MS cased-hole/well control lead ; verify current operating status and exact services. ; Google Places profile matched Cased Hole Well Services; 3611 Industrial Blvd, Laurel, MS 39440, USA; (601) 425-2700; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,31.6941,-89.1306,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,31.6603438|-89.1793842,1,Single marker; tooltip opens on click
DW Services - Laurel,Oilfield Construction / Mats / Water Haul / Fluids / Frac Tanks,Regional / Gulf Coast,High,2501 Airport Drive,Laurel,MS,601-649-1220,https://dwservices.com/locations/laurel-ms/,31.694100,-89.130600,Map ready / address ready,High,Company/source verified; direct-call before use,https://dwservices.com/locations/laurel-ms/,"Laurel location lists oilfield construction/mats, pipeline/production, water haul, drilling/completion fluids and frac tank rentals.",Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,31.6941,-89.1306,,,Physical address / approximate geocode,31.694100|-89.130600,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
GRACO Oilfield Services - Laurel,Specialty Oilfield Services,Regional / Gulf Coast,High,2752 Highway 11 North,Laurel,MS,Needs direct confirmation,https://gracooilfieldservices.com/laurel-mississippi/,31.694100,-89.130600,Map ready / address ready,High,Company/source verified; direct-call before use,https://gracooilfieldservices.com/laurel-mississippi/,Laurel MS specialty oilfield services location.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,31.6941,-89.1306,,,Physical address / approximate geocode,31.694100|-89.130600,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
"Mississippi Well Services, LLC",Cased-hole Wireline / Production Logging,Local / Regional,Medium,Exact address pending,Mississippi region,MS,601-870-2968,Needs verification,32.354700,-89.398500,State-level placeholder; direct call required,Medium,LinkedIn/public listing; direct confirmation required,https://www.linkedin.com/company/mississippi-well-services-llc,"Mississippi cased-hole wireline/production logging lead; not fully verified from company website, direct-call before relying on row.",Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,32.3547,-89.3985,,,City centroid / physical address needed,32.354700|-89.398500,1,Single marker; tooltip opens on hover
Basin Service Company / Basin Well Service,Well Service / Workover / Oilfield Supply,Local / Regional,High,Regional / Baker-Spearfish-area exact address pending,Baker,MT,Needs direct confirmation,https://basinnation.com/,46.366900,-104.284700,City-level geocode; address ready,High,Source verified; direct call recommended,https://basinnation.com/,Basin Service Company states Basin Well Service operates workover rigs in ND and MT and Spearfish Oilfield Supply sells oil and gas supplies.,Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,46.3669,-104.2847,,,City centroid / physical address needed,46.366900|-104.284700,1,Single marker; tooltip opens on hover
Montana Petroleum Association Buyer’s Guide Vendors,Directory / Lead Source,Regional,Regional High,Directory source,Billings,MT,Varies,https://mtoilgasbuyersguide.com/,45.783300,-108.500700,Map ready,Medium,Needs extraction,https://mtoilgasbuyersguide.com/listings.php?cat=Professional+Services&scat=Oilfield+Services,"Mine this source for additional Montana service companies around Billings, Glendive, Sidney, Baker, and Miles City.",Likely oilfield / direct call recommended,Existing V2.2 row,Existing V2.7 record,45.7833,-108.5007,,,Physical address / approximate geocode,45.783300|-108.500700,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Winn-Marion Companies - Billings,Automation / Controls / SCADA,Regional / Multi-basin,High,"2877 Overland Ave, Suite A",Billings,MT,Needs direct confirmation,https://winn-marion.com/,45.783300,-108.500700,Address ready; geocode approximate,High,Company/LinkedIn location; direct call recommended,https://winn-marion.com/ ; https://www.linkedin.com/company/winn-marion-companies,Rockies/Northern Plains automation and field-service location; potential Bakken/Williston support.,Confirmed oilfield and industrial energy support,Branch / satellite location,Existing V2.7 record,45.7833,-108.5007,,,Physical address / approximate geocode,45.783300|-108.500700,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Bridger Photonics,Methane Detection / Aerial LiDAR / LDAR,National / Technology Provider,High,2310 University Way Bldg 4-1,Bozeman,MT,(406) 585-2774,http://www.bridgerphotonics.com/,45.6556967,-111.0486129,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.bridgerphotonics.com/ ; https://www.epa.gov/natural-gas-star-program/oil-and-gas-equipment-and-service-providers-directory ; https://maps.google.com/?cid=1323127578845847117 ; http://www.bridgerphotonics.com/,"Aerial methane detection and Gas Mapping LiDAR provider. Add to LDAR/OOOOb/OOOOc/methane-reduction vendor layer. ; Google Places profile matched Bridger Photonics, Inc.; 2310 University Way Bldg 4-1, Bozeman, MT 59715, USA; (406) 585-2774; status OPERATIONAL; researched 2026-06-24",Confirmed oil and gas methane detection fit,Map-profile-enriched provider,V2.12 EPA Natural Gas STAR / methane provider expansion,45.6770,-111.0429,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,45.6556967|-111.0486129,1,Single marker; tooltip opens on click
"Liquid Gold Well Service, Inc.",Workover / Cementing / Hot Oil / P&A,Regional,Regional High,18 Hope Rd.,Cut Bank,MT,406-873-2966,https://mtoilgasbuyersguide.com/,48.633400,-112.329200,Map ready,Medium,Directory source; needs company verification,https://mtoilgasbuyersguide.com/listings.php?cat=Professional+Services&scat=Oilfield+Services,Montana service option; evaluate mobilization distance to DOG area.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.6334,-112.3292,,,Physical address / approximate geocode,48.633400|-112.329200,1,Single marker; tooltip opens on hover
"Elite Hot Oil, Inc.",Hot Oil / Oilfield Services,Regional,Regional High,Sidney area - verify exact address,Sidney,MT,208-899-0733,https://www.manta.com/mb_45_E31857NC_27/oil_field_services_nec/montana,47.716700,-104.156300,Map ready,Medium,Directory source; needs direct verification,https://www.manta.com/mb_45_E31857NC_27/oil_field_services_nec/montana,Hot oil / fluids support candidate; verify active status and service radius.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,47.7167,-104.1563,,,Physical address / approximate geocode,47.716700|-104.156300,1,Single marker; tooltip opens on hover
Select Water Solutions - Arnegard,Water Management / Disposal,National / Major,Standard,,Arnegard,ND,Needs location-specific confirmation,https://www.selectwater.com/,47.805800,-103.438500,City-level geocode / needs address,Medium,Company source city-level; exact address needs confirmation,https://www.selectwater.com/contact-us/,Select lists this city as a service location; exact yard address should be confirmed by sales team.,Confirmed oilfield specific,Service city / exact yard pending,Existing V2.7 record,47.8058,-103.4385,,,City centroid / no physical address,47.805800|-103.438500,1,Single marker; tooltip opens on hover
Geo Drilling Fluids / Geo Drilling Services,Drilling Fluids,Regional,Medium,,Belfield,ND,406-480-2662,http://geodf.com,46.885300,-103.199600,City-level geocode; exact address pending,Medium,Attached recommendation; direct call recommended,Attached PDF: recommendations for dakota.pdf / Tony Petres recommendations,Drilling fluids provider with good reputation in ND; source notes IKG has not worked with them directly.,Confirmed oilfield specific,Attached SD recommendation,Existing V2.7 record,46.8853,-103.1996,,,City centroid / no physical address,46.885300|-103.199600,1,Single marker; tooltip opens on hover
NESET Consulting,Geology / Wellsite Consulting,Regional,Regional High,6844 ND-40,Tioga,ND,(701) 664-1492,http://www.nesetconsulting.com/,48.4077315,-102.9276872,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://nesetconsulting.com/services/geology/ ; https://maps.google.com/?cid=16389521223480450340 ; http://www.nesetconsulting.com/,"Strong candidate for mudlogging / wellsite geology once DOG advances to drilling stage. ; Google Places profile matched Neset Consulting Service; 6844 ND-40, Tioga, ND 58852, USA; (701) 664-1492; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,48.3972,-102.938,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,48.4077315|-102.9276872,1,Single marker; tooltip opens on click
Select Water Solutions - Watford City,Water Management / Disposal,National / Major,Standard,,Watford City,ND,Needs location-specific confirmation,https://www.selectwater.com/,47.802200,-103.283200,City-level geocode / needs address,Medium,Company source city-level; exact address needs confirmation,https://www.selectwater.com/contact-us/,Select lists this city as a service location; exact yard address should be confirmed by sales team.,Confirmed oilfield specific,Service city / exact yard pending,Existing V2.7 record,47.8022,-103.2832,,,City centroid / no physical address,47.802200|-103.283200,1,Single marker; tooltip opens on hover
Baker Hughes - Williston Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Williston,ND,Needs direct confirmation,https://www.bakerhughes.com/,48.147000,-103.618000,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.bakerhughes.com/,"Satellite/district lead for Baker Hughes drilling, drill bits, wireline, completions, production chemicals and artificial lift; verify actual service lines and address.",Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,48.147,-103.618,,,City centroid / physical address needed,48.147000|-103.618000,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Capital Well Services,Oilfield Services,Regional,Regional High,422 8th Ave E,Williston,ND,Office 701-335-6123; Dispatch 701-575-1111,https://www.capitalwellservices.com/,48.151000,-103.618500,Map ready,High,Company source verified,https://www.capitalwellservices.com/,Good local dispatch/service contact for Bakken-region field support.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.151,-103.6185,,,Physical address / approximate geocode,48.151000|-103.618500,1,Single marker; tooltip opens on hover
DNOW,Oilfield Supply / PVF / Production Equipment,National / Regional,Regional High,5072 Owan Industrial Park Dr,Williston,ND,701-572-3781,https://www.dnow.com/locations/williston-nd,48.173000,-103.723000,Map ready,High,Company source verified,https://www.dnow.com/locations/williston-nd,"Major supply house for pipe, valves, fittings, tubing, pumps, and production equipment.",Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.173,-103.723,,,Physical address / approximate geocode,48.173000|-103.723000,1,Single marker; tooltip opens on hover
GO Wireline,Wireline,Regional,Regional High,320 8th Ave E,Williston,ND,(701) 572-0886,http://www.gowireline.com/,48.1476593,-103.6088638,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.linkedin.com/company/gowireline ; https://maps.google.com/?cid=18177027374768931663 ; http://www.gowireline.com/,"Candidate for cased-hole services ; verify open-hole capability separately. ; Google Places profile matched Go Wireline LLC; 320 8th Ave E, Williston, ND 58801, USA; (701) 572-0886; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,48.14697,-103.61797,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,48.1476593|-103.6088638,1,Single marker; tooltip opens on click
Halliburton,Integrated Oilfield Services | Integrated Oilfield Services / Satellite District,National / Regional | National / Major,Regional High | Standard,826 48th Ave W,Williston,ND,(701) 774-3963,http://www.halliburton.com/,48.1529533,-103.6900092,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.halliburton.com/ ; https://maps.google.com/?cid=2452822825124163853 ; http://www.halliburton.com/,"Large integrated fallback for cement, wireline, frac, and completion services. | Satellite/district lead for major-provider field service extraction ; verify actual service lines and yard/camp address. ; Google Places profile matched Halliburton; 826 48th Ave W, Williston, ND 58801, USA; (701) 774-3963; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific | Confirmed or likely oilfield-specific; service line/location to verify,Map-profile-enriched provider,Existing V2.7 record | V2.14 User requested service-category expansion,48.14697,-103.61797,,Kept best record ; merged/removed 1 duplicate(s): Halliburton - Williston Area Service Lead ; Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,48.1529533|-103.6900092,1,Single marker; tooltip opens on click
Hose & Rubber Supply - Williston,Oilfield Supply,Regional,Regional High,2209 4th Ave West,Williston,ND,701-774-3770,https://www.hoseandrubber.com/,48.158200,-103.655400,Map ready,Medium,Directory source; needs company verification,https://www.ndoilgasbuyersguide.com/listings.php?cat=Equipment+%26+Supplies&scat=Hose+%26+Supplies+Distributor,Hose and fitting support.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.1582,-103.6554,,,Physical address / approximate geocode,48.158200|-103.655400,1,Single marker; tooltip opens on hover
Liberty Energy,Frac / Wireline / Completions,National / Regional | National / Major,Regional High | Standard,5922 West Dakota Parkway,Williston,ND,701-354-4300,https://libertyenergy.com/contact/ | https://libertyenergy.com/,48.167500,-103.731000,Map ready,High,Company source verified | Source verified; direct call recommended,https://libertyenergy.com/contact/ | https://libertyenergy.com/contact/ ; https://libertyenergy.com/,High-priority completions/wireline candidate for Williston/Bakken supported jobs. | Liberty identifies itself as a major North American energy service provider and lists its Williston Basin location.,Confirmed oilfield specific,Existing V2.2 row | Field office / branch / yard,Existing V2.7 record,48.1675,-103.731,,Kept best record; merged/removed 1 duplicate(s): Liberty Energy - Williston Basin,Physical address / approximate geocode,48.167500|-103.731000,1,Single marker; tooltip opens on hover
MPI Warehouse Specialty Co. - Williston,Oilfield Supply,Regional,Regional High,4317 4th Ave North,Williston,ND,701-577-2777,https://mpiwarehouse.com/oilfield-products/,48.164500,-103.686800,Map ready,Medium,Company source verified,https://mpiwarehouse.com/oilfield-products/,Oilfield product and supply support.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.1645,-103.6868,,,Physical address / approximate geocode,48.164500|-103.686800,1,Single marker; tooltip opens on hover
Noble Casing,Casing / Tubular Services,Regional,Regional High,5061 141t Ln NW,Williston,ND,(701) 572-1018,http://www.nobleoilfieldservices.com/,48.1488763,-103.7507142,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.nobleoilfieldservices.com/well-services/ ; https://maps.google.com/?cid=11941141211297045296 ; http://www.nobleoilfieldservices.com/,"Qualify for casing running and tubular-handling support. ; Google Places profile matched Noble Casing; 5061 141t Ln NW, Williston, ND 58801, USA; (701) 572-1018; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,48.14697,-103.61797,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,48.1488763|-103.7507142,1,Single marker; tooltip opens on click
Patterson-UTI Drilling - Williston,Drilling Contractor,National / Major,Standard,8508 Derrick Avenue,Williston,ND,701-707-3838,https://patenergy.com/patterson-uti-drilling,48.146970,-103.617970,City-level geocode; address ready,High,Source verified; direct call recommended,https://patenergy.com/patterson-uti-drilling,"Official Patterson-UTI drilling locations include Williston, ND.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,48.14697,-103.61797,,,City centroid / physical address needed,48.146970|-103.617970,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Producers Supply Company,Oilfield Supply,Regional,Regional High,4928 US-85,Williston,ND,701-997-0004,https://p-s-c.com/,48.183000,-103.628000,Map ready,Medium,Company source needs final call,https://p-s-c.com/psc-opens-in-williston/,Regional oilfield supply option.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.183,-103.628,,,Physical address / approximate geocode,48.183000|-103.628000,1,Single marker; tooltip opens on hover
SLB - Williston Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Williston,ND,Needs direct confirmation,https://www.slb.com/,48.147000,-103.618000,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.slb.com/,Satellite/district lead for SLB/Smith Bits/wireline/drilling services; verify actual service lines and address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,48.147,-103.618,,,City centroid / physical address needed,48.147000|-103.618000,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
SLB Smith Bits - Williston Lead,Drill Bits / Smith Bits,National / Major,Standard,City-level office/camp; exact address pending,Williston,ND,Needs direct confirmation,https://www.slb.com/products-and-services/innovating-in-oil-and-gas/well-construction/drilling/drill-bits,48.147000,-103.618000,Ready after exact address verification,High,City-level lead; exact address pending,https://www.slb.com/products-and-services/innovating-in-oil-and-gas/well-construction/drilling/drill-bits,City-level lead for Bakken Smith Bits support; exact address pending.,Confirmed/likely oilfield-specific product fit,District / product support lead,V2.14 User requested service-category expansion,48.147,-103.618,,,City centroid / physical address needed,48.147000|-103.618000,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Select Water Solutions - Williston,Water Management / Disposal,National / Major,Standard,,Williston,ND,Needs location-specific confirmation,https://www.selectwater.com/,48.146970,-103.617970,City-level geocode / needs address,High,Company source city-level; exact address needs confirmation,https://www.selectwater.com/contact-us/,Select lists this city as a service location; exact yard address should be confirmed by sales team.,Confirmed oilfield specific,Service city / exact yard pending,Existing V2.7 record,48.14697,-103.61797,,,City centroid / no physical address,48.146970|-103.617970,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
True Pipe & Supply - Williston,Tubulars / OCTG / Pipe,Regional,Regional High,Williston yard - verify exact address,Williston,ND,Needs direct confirmation,https://truepipeandsupply.com/stores/,48.146970,-103.617970,Map ready,High,Company source for locations; exact address needs call,https://truepipeandsupply.com/stores/,Pipe/OCTG vendor candidate with regional yards.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,48.14697,-103.61797,,,Physical address / approximate geocode,48.146970|-103.617970,6,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Catalyst Oil Field Services,Oilfield Services,Local / Regional,Medium,13 Arrowhead Rd,Artesia,NM,(575) 746-2910,Needs company website verification,32.833027,-104.305678,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.namesandnumbers.com/l/artesia-nm/oil-field-services ; https://maps.google.com/?cid=4047068850333489114,"Artesia oilfield services listing ; direct-call required. ; Google Places profile matched Catalyst Oil Field Services; 13 Arrowhead Rd, Artesia, NM 88210, USA; (575) 746-2910; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,32.8423,-104.4033,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,32.833027|-104.305678,1,Single marker; tooltip opens on click
Clear Fork Wireline,Wireline,Local / Regional,High,Exact address pending,Artesia,NM,575-746-4367,Needs company website verification,32.842300,-104.403300,City-level geocode; exact yard pending,Medium,Directory lead; direct verification required,https://www.namesandnumbers.com/l/artesia-nm/oil-field-services,Artesia wireline lead; direct-call required.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,32.8423,-104.4033,,,City centroid / physical address needed,32.842300|-104.403300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Fox Oil Drilling Company - Artesia,Drilling Contractor,Regional / New Mexico,High,Exact address pending,Artesia,NM,575-748-1288,https://www.foxoildrilling.com/oil-rigs.html,32.842300,-104.403300,City-level geocode; exact yard pending,High,Company/source verified; direct-call before use,https://www.foxoildrilling.com/oil-rigs.html,Artesia New Mexico drilling contractor contact/location lead.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,32.8423,-104.4033,,,City centroid / physical address needed,32.842300|-104.403300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Ranger Energy Services - Artesia,Well Service Rigs / RAFT / Ancillary Services,National / Multi-basin,High,11383 Lovington Hwy,Artesia,NM,575-909-2865,https://www.rangerenergy.com/about/locations/,32.842300,-104.403300,City-level geocode; address ready,High,Company source verified,https://www.rangerenergy.com/about/locations/,"Artesia rig location; direct-call to qualify equipment, workover capacity, and basin coverage.",Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,32.8423,-104.4033,,,City centroid / physical address needed,32.842300|-104.403300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Aztec Well Servicing Company,Well Service / Workover / Drilling Support,Regional / San Juan Basin,High,900 S Main Ave,Aztec,NM,(505) 334-6191,http://www.aztecwell.com/,36.8082889,-107.9991089,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.aztecwellservicing.com/ ; https://maps.google.com/?cid=14943292159950263044 ; http://www.aztecwell.com/,"San Juan Basin well servicing lead ; verify services and locations. ; Google Places profile matched Aztec Well Servicing; 900 S Main Ave, Aztec, NM 87410, USA; (505) 334-6191; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,36.8222,-107.9928,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,36.8082889|-107.9991089,1,Single marker; tooltip opens on click
Main Logging Inc.,Mudlogging / Wellsite Geology,Regional / Permian / New Mexico,Medium,1111 N Mesa,Carlsbad,NM,(575) 200-3449,http://www.mainlogging.net/,32.4369567,-104.2372969,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.zoominfo.com/c/main-logging-inc/371322785 ; https://www.simplyhired.com/job/N6OYtzFYSkDVLear6vMkjHv8Mqg55RNMVOcgbHJwyRlmjT_oIs4tlA ; https://maps.google.com/?cid=14322725673336569954 ; http://www.mainlogging.net/,"Public business profiles describe Main Logging as an oil and gas logging company focused on conventional/unconventional targets with Permian Basin experience ; exact office requires direct verification. ; Google Places profile matched Main Logging Inc; 1111 N Mesa, Carlsbad, NM 88220, USA; (575) 200-3449; status OPERATIONAL; researched 2026-06-24",Likely oilfield mudlogging fit; direct-call required.,Map-profile-enriched provider,V2.13 Mudlogging Expansion,32.4207,-104.2288,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,32.4369567|-104.2372969,1,Single marker; tooltip opens on click
